,Make,Model,Variant,Ex-Showroom_Price,City_Mileage,Cylinders,Highway_Mileage,Drivetrain,Emission_Norm,Fuel_Type,Body_Type,Kerb_Weight,Gears,Ground_Clearance,Power_Steering,Power,Doors,Type,Audiosystem,Aux-in_Compatibility,Boot_Space,Child_Safety_Locks,Number_of_Airbags
12,Renault,Kwid,Rxe 0.8,353290,25.17,3.0,24.0,FWD (Front Wheel Drive),BS VI,Petrol,Hatchback,669,6,184.0,Electric Power,54PS@5678rpm,5.0,Manual,Not on offer,Yes,300,Yes,1.0
13,Renault,Kwid,Std 0.8,283290,25.17,3.0,24.0,FWD (Front Wheel Drive),BS VI,Petrol,Hatchback,669,5,184.0,Electric Power,54PS@5678rpm,5.0,Manual,Not on offer,Yes,300,Yes,1.0
14,Renault,Kwid,Rxl 0.8,383290,25.17,3.0,24.0,FWD (Front Wheel Drive),BS VI,Petrol,Hatchback,669,5,184.0,Electric Power,54PS@5678rpm,5.0,Manual,CD Player with USB & Aux-in,Yes,300,Yes,1.0
15,Renault,Kwid,Rxt 0.8,413290,25.17,3.0,24.0,FWD (Front Wheel Drive),BS VI,Petrol,Hatchback,669,5,184.0,Electric Power,54PS@5678rpm,5.0,Manual,CD Player with USB & Aux-in,Yes,300,Yes,1.0
16,Renault,Kwid,Rxt 1.0,433290,25.17,3.0,24.0,FWD (Front Wheel Drive),BS VI,Petrol,Hatchback,669,5,184.0,Electric Power,68PS@5500rpm,5.0,Manual,CD Player with USB & Aux-in,Yes,300,Yes,1.0
17,Renault,Kwid,Climber 1.0 Mt,454490,25.17,3.0,24.0,FWD (Front Wheel Drive),BS VI,Petrol,Hatchback,669,5,184.0,Electric Power,68PS@5500rpm,5.0,Manual,CD Player with USB & Aux-in,Yes,300,Yes,1.0
18,Renault,Kwid,Rxt Amt 1.0,463290,25.17,3.0,24.0,FWD (Front Wheel Drive),BS VI,Petrol,Hatchback,669,5,184.0,Electric Power,68PS@5500rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,300,Yes,1.0
19,Renault,Kwid,Climber Amt 1.0,484490,25.17,3.0,24.0,FWD (Front Wheel Drive),BS VI,Petrol,Hatchback,669,5,184.0,Electric Power,68PS@5500rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,300,Yes,1.0
20,Renault,Kwid,Rxt (O) 1.0,440990,25.17,3.0,24.0,FWD (Front Wheel Drive),BS VI,Petrol,Hatchback,669,5,184.0,Electric Power,68PS@5500rpm,5.0,Manual,CD Player with USB & Aux-in,Yes,300,Yes,2.0
21,Renault,Kwid,Rxt (O) Amt 1.0,470990,25.17,3.0,24.0,FWD (Front Wheel Drive),BS VI,Petrol,Hatchback,669,5,184.0,Electric Power,68PS@5500rpm,5.0,Automatic,CD Player with USB & Aux-in,Yes,300,Yes,2.0
22,Renault,Kwid,Climber (O) Mt 1.0,462190,25.17,3.0,24.0,FWD (Front Wheel Drive),BS VI,Petrol,Hatchback,669,5,184.0,Electric Power,68PS@5500rpm,5.0,Manual,CD Player with USB & Aux-in,Yes,300,Yes,2.0
23,Renault,Kwid,Climber (O) Amt 1.0,492190,25.17,3.0,24.0,FWD (Front Wheel Drive),BS VI,Petrol,Hatchback,669,5,184.0,Electric Power,68PS@5500rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,300,Yes,2.0
24,Maruti Suzuki,Eeco,5 Str,352136,12.0,4.0,15.0,RWD (Rear Wheel Drive),BS VI,Petrol,MPV,920,5,160.0,Electric Power,73PS@6000rpm,5.0,Manual,Not on offer,Yes,400,Yes,1.0
25,Maruti Suzuki,Eeco,7 Str,380573,12.0,4.0,15.0,FWD (Front Wheel Drive),BS VI,Petrol,MPV,940,5,160.0,Electric Power,74PS@6000RPM,5.0,Manual,Not on offer,Yes,250,Yes,1.0
